24개 암종별,성별,시점,0-4세,5-9세,10-14세,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,50-54세,55-59세,60-64세,65-69세,70-74세,75-79세,80-84세,85세이상,연령미상
24개 암종별,성별,시점,발생자수 (명),발생자수 (명),발생자수 (명),발생자수 (명),발생자수 (명),발생자수 (명),발생자수 (명),발생자수 (명),발생자수 (명),발생자수 (명),발생자수 (명),발생자수 (명),발생자수 (명),발생자수 (명),발생자수 (명),발생자수 (명),발생자수 (명),발생자수 (명),발생자수 (명)
위(C16),남자,2010,0,0,0,4,5,47,139,374,894,1519,2438,2649,2940,3284,3003,1976,923,399,0
위(C16),남자,2011,1,1,2,2,12,56,159,332,835,1438,2657,2917,3198,3211,3216,2172,957,421,0
위(C16),남자,2012,1,0,1,3,8,31,133,325,809,1303,2449,2908,3236,3071,3154,2258,950,411,0
위(C16),남자,2013,0,0,0,3,16,32,116,283,778,1143,2380,2825,2912,2997,3197,2262,1081,467,0
위(C16),남자,2014,0,0,0,1,7,29,100,276,721,1198,2257,2833,2960,2982,3047,2250,1159,503,0
위(C16),남자,2015,0,0,0,1,7,16,95,249,740,1036,2066,2793,2915,3024,2950,2202,1176,501,0
위(C16),남자,2016,1,0,0,1,8,25,77,255,603,1087,1973,3161,3341,3109,2901,2330,1315,525,0
위(C16),남자,2017,0,0,1,2,10,18,79,225,580,1025,1887,3000,3236,3078,2800,2335,1331,615,0
위(C16),남자,2018,0,0,0,2,7,15,58,220,531,980,1755,2897,3377,2964,2655,2493,1425,628,0
위(C16),남자,2019,0,0,0,1,4,35,53,173,511,913,1694,2732,3460,2900,2753,2469,1501,690,1
위(C16),남자,2020,0,0,0,1,6,11,50,158,429,711,1415,2386,3077,2750,2647,2134,1402,692,0
위(C16),여자,2010,0,0,0,1,19,83,199,400,644,726,952,884,941,1305,1452,1259,807,494,0
위(C16),여자,2011,0,0,0,3,15,54,187,389,648,754,1081,969,1084,1229,1392,1291,855,492,0
위(C16),여자,2012,0,0,0,3,19,54,181,342,579,698,1013,891,995,1165,1494,1294,890,520,0
위(C16),여자,2013,0,1,2,1,4,51,171,310,593,633,1026,937,947,1094,1463,1365,861,574,0
위(C16),여자,2014,0,0,0,1,11,46,159,304,585,700,871,977,936,1035,1396,1283,974,607,0
위(C16),여자,2015,0,0,0,3,9,41,138,302,580,625,861,944,967,1035,1289,1294,988,645,1
위(C16),여자,2016,0,0,0,4,8,35,117,308,544,640,823,1095,1076,1081,1244,1341,1056,718,0
위(C16),여자,2017,0,0,0,3,12,27,113,268,553,644,831,1061,1140,1017,1144,1371,1022,698,0
위(C16),여자,2018,0,0,0,1,12,26,72,272,449,615,790,1047,1062,1047,1101,1287,996,718,0
위(C16),여자,2019,0,0,1,0,12,26,74,266,453,581,833,1002,1232,1056,1131,1299,1072,792,0
위(C16),여자,2020,0,0,0,0,9,32,67,200,382,446,692,890,1075,1012,1038,1150,1004,796,0
간(C22),남자,2010,6,3,1,3,5,28,69,205,592,1286,1917,1886,1679,1556,1393,806,412,210,0
간(C22),남자,2011,11,2,1,2,7,23,70,236,546,1171,2071,1864,1652,1484,1398,976,460,212,0
간(C22),남자,2012,12,2,2,3,6,18,61,180,507,1049,1885,2002,1635,1532,1489,1016,505,222,0
간(C22),남자,2013,12,4,1,2,7,8,64,185,501,1036,1879,1943,1669,1410,1525,1038,519,236,0
간(C22),남자,2014,7,0,1,3,7,10,71,179,471,982,1735,1964,1578,1493,1525,1066,587,257,0
간(C22),남자,2015,12,2,1,3,2,11,47,158,436,944,1586,2016,1665,1503,1428,1154,640,280,0
간(C22),남자,2016,8,3,3,3,2,10,38,132,402,891,1487,2052,1790,1530,1359,1214,691,312,0
간(C22),남자,2017,10,1,0,2,3,7,50,146,385,845,1340,2001,1782,1499,1357,1230,739,319,0
간(C22),남자,2018,4,1,0,5,7,9,36,158,323,752,1251,1953,1875,1572,1335,1354,805,393,0
간(C22),남자,2019,10,1,0,3,3,7,24,148,289,677,1290,1754,1969,1491,1446,1305,816,398,0
간(C22),남자,2020,6,0,0,3,4,4,27,125,248,580,1143,1689,1820,1584,1387,1246,846,438,0
간(C22),여자,2010,8,3,2,2,4,16,16,39,112,225,351,417,473,625,652,594,392,225,0
간(C22),여자,2011,13,0,2,2,6,7,23,58,136,203,347,424,517,595,664,583,399,262,0
간(C22),여자,2012,4,2,2,0,2,5,33,50,98,174,355,416,511,530,666,540,381,276,0
간(C22),여자,2013,11,0,2,0,5,6,28,51,88,165,325,364,437,538,694,576,422,296,0
간(C22),여자,2014,6,0,1,1,5,10,23,50,88,154,300,401,437,498,643,643,464,297,0
간(C22),여자,2015,6,1,1,1,2,4,26,47,100,165,305,401,468,515,626,615,452,359,0
간(C22),여자,2016,10,1,0,2,2,4,13,53,82,157,267,400,460,514,606,629,504,366,0
간(C22),여자,2017,3,0,1,1,5,1,22,50,83,169,231,395,433,488,519,651,524,414,0
간(C22),여자,2018,6,2,1,2,7,4,19,46,80,140,232,365,432,498,553,667,551,445,0
간(C22),여자,2019,8,1,0,1,0,8,18,51,83,126,237,358,494,488,606,683,534,422,0
간(C22),여자,2020,6,1,1,1,3,5,5,39,69,136,224,386,440,467,568,641,553,456,1
췌장(C25),남자,2010,0,0,1,0,1,4,9,21,53,144,227,264,347,448,488,323,149,90,0
췌장(C25),남자,2011,0,0,1,2,3,5,7,19,79,132,238,337,416,463,473,392,180,115,0
췌장(C25),남자,2012,0,0,1,1,1,3,12,35,69,117,232,350,401,475,554,430,215,104,0
췌장(C25),남자,2013,0,0,1,0,1,5,12,20,69,130,261,361,401,437,589,374,229,128,0
췌장(C25),남자,2014,0,0,1,1,3,5,9,30,78,128,284,354,450,453,567,496,249,137,0
췌장(C25),남자,2015,0,0,2,1,1,4,21,23,61,139,248,398,466,548,594,450,286,156,0
췌장(C25),남자,2016,1,0,1,1,3,5,15,30,66,127,277,429,481,522,567,479,295,135,0
췌장(C25),남자,2017,0,0,1,0,3,4,17,38,77,140,262,453,526,577,586,596,344,155,0
췌장(C25),남자,2018,2,0,3,2,5,6,9,38,67,140,218,519,597,588,604,628,414,219,0
췌장(C25),남자,2019,1,0,3,2,0,9,14,41,65,151,265,485,600,634,637,626,412,233,0
췌장(C25),남자,2020,1,0,3,5,4,4,17,28,65,161,227,442,679,650,642,680,487,229,0
췌장(C25),여자,2010,0,0,1,3,4,6,7,21,25,65,119,158,193,333,400,379,293,189,0
췌장(C25),여자,2011,0,0,2,3,1,6,7,24,37,67,147,183,214,322,369,411,322,205,0
췌장(C25),여자,2012,0,0,3,1,5,4,7,14,47,85,169,186,230,347,460,388,313,259,0
췌장(C25),여자,2013,0,1,1,3,3,6,10,21,49,72,142,200,250,301,474,432,351,258,0
췌장(C25),여자,2014,0,0,1,3,4,6,9,18,51,79,145,237,238,340,465,535,409,266,0
췌장(C25),여자,2015,0,0,4,4,6,6,15,16,44,75,159,269,283,413,436,534,430,327,0
췌장(C25),여자,2016,0,1,3,9,7,7,20,28,38,95,153,264,334,363,524,599,498,394,0
췌장(C25),여자,2017,0,3,10,5,9,13,16,28,58,93,130,267,319,389,498,644,492,397,0
췌장(C25),여자,2018,0,2,4,6,13,19,16,43,52,101,152,296,407,422,479,668,519,437,0
췌장(C25),여자,2019,0,1,2,10,14,15,21,34,53,90,169,323,435,477,542,689,606,495,0
췌장(C25),여자,2020,2,0,6,6,14,20,24,34,52,94,154,312,468,512,570,669,629,524,0
폐(C33-C34),남자,2010,1,0,0,2,4,18,37,84,174,410,901,1372,1936,2785,3113,2482,1144,592,0
폐(C33-C34),남자,2011,0,0,2,3,6,17,31,87,212,411,898,1461,2025,2764,3154,2550,1305,591,0
폐(C33-C34),남자,2012,1,0,0,8,2,7,27,64,196,358,855,1453,2073,2569,3306,2710,1385,659,0
폐(C33-C34),남자,2013,1,0,2,4,10,12,28,76,223,328,861,1467,2047,2622,3620,2944,1494,723,0
폐(C33-C34),남자,2014,0,0,1,6,5,12,33,79,182,379,786,1570,2115,2697,3558,3080,1748,826,0
폐(C33-C34),남자,2015,1,0,1,1,10,3,28,63,173,339,827,1532,2139,2850,3498,3186,1807,846,0
폐(C33-C34),남자,2016,0,0,1,9,9,13,32,74,162,332,785,1630,2398,2958,3470,3284,2050,923,1
폐(C33-C34),남자,2017,0,0,0,4,8,16,28,60,176,344,770,1678,2472,3153,3430,3601,2253,996,0
폐(C33-C34),남자,2018,0,0,0,1,4,16,20,88,151,365,778,1536,2586,3295,3453,3918,2420,1122,1
폐(C33-C34),남자,2019,0,0,0,3,8,8,24,82,163,336,728,1585,2696,3256,3802,3894,2626,1308,0
폐(C33-C34),남자,2020,0,0,3,1,9,13,27,71,157,323,671,1396,2586,3349,3641,3609,2549,1252,0
폐(C33-C34),여자,2010,0,1,2,1,5,14,37,76,154,307,476,564,658,763,973,1016,737,519,0
폐(C33-C34),여자,2011,1,1,1,3,5,8,31,70,182,283,548,626,695,870,1035,1016,788,632,0
폐(C33-C34),여자,2012,0,0,0,3,3,11,21,71,142,297,556,684,785,851,1023,1076,809,628,0
폐(C33-C34),여자,2013,2,0,1,2,4,11,40,64,160,269,575,762,707,854,1081,1119,839,684,0
폐(C33-C34),여자,2014,1,0,0,1,6,17,36,78,142,302,583,733,792,828,1196,1152,849,741,0
폐(C33-C34),여자,2015,2,1,0,2,7,9,30,83,170,271,528,809,777,867,1130,1110,916,741,0
폐(C33-C34),여자,2016,1,0,3,4,2,19,36,67,153,344,563,917,985,972,1126,1173,983,834,0
폐(C33-C34),여자,2017,0,0,0,3,4,12,22,55,178,311,543,938,1054,1062,1177,1259,1010,912,0
폐(C33-C34),여자,2018,1,0,0,2,7,11,31,74,158,332,585,971,1268,1101,1206,1418,1110,956,0
폐(C33-C34),여자,2019,0,0,0,3,6,21,34,76,156,357,594,968,1364,1242,1270,1471,1185,975,0
폐(C33-C34),여자,2020,1,0,0,2,6,9,29,85,167,309,575,956,1293,1224,1282,1333,1086,935,0
